x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
11.70;64.20;y;0.79;0.05;83.03;25.40;0.00;65.26
11.70;64.20;p;0.43;0.00;108.43;0.00;0.32;65.26
11.60;63.90;y;0.79;0.00;108.43;-118.12;0.00;64.94
11.60;63.90;p;8.44;0.14;-9.69;0.00;8.32;64.94
19.80;65.30;y;0.79;0.19;-9.69;-4.35;0.00;68.24
19.80;65.30;p;0.53;0.00;-14.04;0.00;0.41;68.24
20.20;65.40;y;0.79;0.01;-14.04;-32.51;0.00;68.45
20.20;65.40;p;2.86;0.12;-46.55;0.00;2.62;68.45
22.00;67.30;y;0.79;0.17;-46.55;147.26;0.00;70.80
22.00;67.30;p;3.87;0.33;100.71;0.00;3.77;70.80
21.30;63.60;y;0.79;0.16;100.71;22.02;0.00;67.07
21.30;63.60;p;3.80;0.21;122.74;0.00;3.33;67.07
19.50;60.80;y;0.79;0.08;122.74;31.04;0.00;63.85
19.50;60.80;p;8.45;0.06;153.78;0.00;7.47;63.85
12.80;57.50;y;0.79;0.04;153.78;-37.21;0.00;58.91
12.80;57.50;p;0.36;0.00;116.57;0.00;0.22;58.91
12.70;57.30;y;0.79;0.00;116.57;77.91;0.00;58.69
12.70;57.30;p;3.44;0.15;-165.53;0.00;3.20;58.69
9.60;58.10;y;0.79;0.03;-165.53;-115.78;0.00;58.89
9.60;58.10;p;0.61;0.00;78.69;0.00;0.51;58.89
9.70;57.60;y;0.79;0.00;78.69;-25.56;0.00;58.41
9.70;57.60;p;3.78;0.06;53.13;0.00;3.50;58.41
11.80;54.80;y;0.79;0.07;53.13;45.18;0.00;56.06
11.80;54.80;p;14.00;0.36;98.31;0.00;13.85;56.06
9.80;41.10;y;0.79;0.16;98.31;-143.31;0.00;42.25
9.80;41.10;p;0.53;0.00;-45.00;0.00;0.42;42.25
10.10;41.40;y;0.79;0.00;-45.00;-18.43;0.00;42.61
10.10;41.40;p;11.54;0.29;-63.43;0.00;9.84;42.61
14.50;50.20;y;0.79;0.09;-63.43;126.87;0.00;52.25
14.50;50.20;p;0.62;0.00;63.43;0.00;0.45;52.25
14.70;49.80;y;0.79;0.03;63.43;5.12;0.00;51.92
14.70;49.80;p;3.24;0.06;68.55;0.00;3.01;51.92
15.80;47.00;y;0.79;0.17;68.55;43.25;0.00;49.58
15.80;47.00;p;0.66;0.15;111.80;0.00;0.54;49.58
15.60;46.50;y;0.79;0.16;111.80;31.33;0.00;49.05
15.60;46.50;p;1.20;0.10;143.13;0.00;1.00;49.05
14.80;45.90;y;0.79;0.03;143.13;-74.17;0.00;48.23
14.80;45.90;p;1.55;0.71;68.96;0.00;1.39;48.23
15.30;44.60;y;0.79;0.39;68.96;8.23;0.00;47.15
15.30;44.60;p;2.46;0.65;77.20;0.00;2.26;47.15
15.80;42.40;y;0.79;0.32;77.20;-42.50;0.00;45.25
15.80;42.40;p;1.85;0.09;34.70;0.00;1.58;45.25
17.10;41.50;y;0.79;0.03;34.70;-98.13;0.00;44.88
17.10;41.50;p;0.88;0.14;-63.43;0.00;0.67;44.88
17.40;42.10;y;0.79;0.25;-63.43;-38.66;0.00;45.55
17.40;42.10;p;1.60;0.27;-102.09;0.00;1.43;45.55
17.10;43.50;y;0.79;0.23;-102.09;70.09;0.00;46.74
17.10;43.50;p;1.15;0.06;-32.01;0.00;0.94;46.74
17.90;44.00;y;0.79;0.10;-32.01;-34.80;0.00;47.50
17.90;44.00;p;0.89;0.20;-66.80;0.00;0.76;47.50
