x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
20.80;26.80;y;0.18;0.00;126.87;37.82;0.00;33.92
20.80;26.80;p;9.19;0.21;164.69;0.00;8.71;33.92
12.40;24.50;y;0.28;0.04;164.69;-83.93;0.00;27.46
12.40;24.50;p;8.84;0.08;80.75;0.00;8.71;27.46
13.80;15.90;y;0.19;0.01;80.75;62.38;0.00;21.05
13.80;15.90;p;0.61;0.16;143.13;0.00;0.50;21.05
13.40;15.60;y;0.26;0.00;143.13;-82.18;0.00;20.57
13.40;15.60;p;1.25;0.76;60.95;0.00;1.03;20.57
13.90;14.70;y;0.07;0.02;60.95;-8.82;0.00;20.23
13.90;14.70;p;1.29;0.70;52.13;0.00;1.14;20.23
14.60;13.80;y;0.22;0.00;52.13;-60.37;0.00;20.09
14.60;13.80;p;7.10;0.02;-8.25;0.00;6.97;20.09
21.50;14.80;y;0.21;0.00;-8.25;-55.19;0.00;26.10
21.50;14.80;p;0.88;0.26;-63.43;0.00;0.67;26.10
21.80;15.40;y;0.11;0.03;-63.43;28.07;0.00;26.69
21.80;15.40;p;4.30;0.46;-35.36;0.00;3.80;26.69
24.90;17.60;y;0.15;0.05;-35.36;-46.87;0.00;30.49
24.90;17.60;p;2.33;0.35;-82.23;0.00;2.22;30.49
25.20;19.80;y;0.09;0.02;-82.23;-13.77;0.00;32.05
25.20;19.80;p;2.02;0.46;-96.01;0.00;1.91;32.05
25.00;21.70;y;0.22;0.06;-96.01;-83.99;0.00;33.10
25.00;21.70;p;1.23;0.86;180.00;0.00;1.00;33.10
24.00;21.70;y;0.23;0.16;180.00;67.07;0.00;32.36
24.00;21.70;p;3.04;0.88;-112.93;0.00;2.82;32.36
22.90;24.30;y;0.26;0.04;-112.93;-87.05;0.00;33.39
22.90;24.30;p;1.32;0.35;160.02;0.00;1.17;33.39
21.80;23.90;y;0.38;0.12;160.02;125.93;0.00;32.35
21.80;23.90;p;2.38;0.55;-74.05;0.00;2.18;32.35
22.40;26.00;y;0.09;0.07;-74.05;-22.02;0.00;34.32
22.40;26.00;p;4.85;0.60;-96.07;0.00;4.73;34.32
21.90;30.70;y;0.32;0.08;-96.07;112.77;0.00;37.71
21.90;30.70;p;1.19;0.13;16.70;0.00;1.04;37.71
22.90;30.40;y;0.07;0.02;16.70;-3.31;0.00;38.06
22.90;30.40;p;2.35;0.11;13.39;0.00;2.16;38.06
25.00;29.90;y;0.22;0.03;13.39;-66.32;0.00;38.97
25.00;29.90;p;6.06;0.03;-52.93;0.00;5.64;38.97
28.40;34.40;p;6.06;0.12;-52.93;0.00;5.64;44.61
31.80;38.90;y;0.13;0.07;-52.93;-39.74;0.00;50.24
31.80;38.90;p;8.74;0.17;-92.66;0.00;8.61;50.24
31.40;47.50;y;0.09;0.02;-92.66;-22.73;0.00;56.94
31.40;47.50;p;8.26;0.04;-115.40;0.00;7.31;56.94
28.27;54.10;p;8.30;0.00;-115.40;0.00;7.31;61.04
25.13;60.70;p;8.26;0.16;-115.40;0.00;7.31;65.70
22.00;67.30;y;0.31;0.11;-115.40;-111.15;0.00;70.80
22.00;67.30;p;2.86;0.08;133.45;0.00;2.62;70.80
20.20;65.40;y;0.17;0.01;133.45;32.51;0.00;68.45
20.20;65.40;p;0.53;0.19;165.96;0.00;0.41;68.45
19.80;65.30;y;0.34;0.08;165.96;-117.39;0.00;68.24
19.80;65.30;p;2.49;0.27;48.58;0.00;2.27;68.24
21.30;63.60;y;0.19;0.12;48.58;74.16;0.00;67.07
21.30;63.60;p;3.80;0.29;122.74;0.00;3.33;67.07
19.50;60.80;y;0.10;0.02;122.74;-9.16;0.00;63.85
19.50;60.80;p;6.32;0.06;113.57;0.00;6.00;63.85
17.10;55.30;p;6.32;0.33;113.57;0.00;6.00;57.88
14.70;49.80;y;0.36;0.08;113.57;129.86;0.00;51.92
14.70;49.80;p;0.62;0.00;-116.57;0.00;0.45;51.92
14.50;50.20;y;0.08;0.00;-116.57;-3.85;0.00;52.25
14.50;50.20;p;6.06;0.07;-120.41;0.00;5.33;52.25
11.80;54.80;y;0.19;0.02;-120.41;50.21;0.00;56.06
11.80;54.80;p;2.87;0.06;-70.20;0.00;2.66;56.06
12.70;57.30;y;0.08;0.00;-70.20;6.77;0.00;58.69
12.70;57.30;p;0.36;0.05;-63.43;0.00;0.22;58.69
12.80;57.50;y;0.11;0.02;-63.43;-35.89;0.00;58.91
12.80;57.50;p;6.91;0.07;-99.32;0.00;6.79;58.91
11.70;64.20;y;0.39;0.00;-99.32;-152.24;0.00;65.26
11.70;64.20;p;0.43;0.00;108.43;0.00;0.32;65.26
11.60;63.90;y;0.05;0.00;108.43;0.59;0.00;64.94
11.60;63.90;p;6.50;0.11;109.03;0.00;6.14;64.94
9.60;58.10;y;0.15;0.01;109.03;-30.34;0.00;58.89
9.60;58.10;p;0.61;0.05;78.69;0.00;0.51;58.89
9.70;57.60;y;0.11;0.01;78.69;33.51;0.00;58.41
9.70;57.60;p;5.60;0.00;112.20;0.00;5.29;58.41
7.70;52.70;p;5.60;0.65;112.20;0.00;5.29;53.26
5.70;47.80;y;0.31;0.28;112.20;126.83;0.00;48.14
5.70;47.80;p;4.00;0.15;-120.96;0.00;3.50;48.14
3.90;50.80;y;0.24;0.01;-120.96;-88.78;0.00;50.95
3.90;50.80;p;1.00;0.23;150.26;0.00;0.81;50.95
3.20;50.40;y;0.33;0.02;150.26;119.74;0.00;50.50
3.20;50.40;p;0.67;0.00;-90.00;0.00;0.50;50.50
3.20;50.90;y;0.09;0.00;-90.00;-26.57;0.00;51.00
3.20;50.90;p;1.14;0.09;-116.57;0.00;0.89;51.00
2.80;51.70;y;0.13;0.02;-116.57;30.86;0.00;51.78
2.80;51.70;p;9.22;0.04;-85.70;0.00;8.67;51.78
3.45;60.35;p;9.22;0.52;-85.70;0.00;8.67;60.45
4.10;69.00;y;0.16;0.09;-85.70;39.20;0.00;69.12
4.10;69.00;p;5.79;0.99;-46.51;0.00;5.38;69.12
7.80;72.90;y;0.09;0.04;-46.51;19.94;0.00;73.32
7.80;72.90;p;1.60;0.78;-26.57;0.00;1.34;73.32
9.00;73.50;y;0.14;0.08;-26.57;37.18;0.00;74.05
9.00;73.50;p;1.73;0.58;10.62;0.00;1.63;74.05
10.60;73.20;y;0.34;0.24;10.62;-128.22;0.00;73.96
10.60;73.20;p;5.66;0.72;-117.60;0.00;4.96;73.96
8.30;77.60;y;0.10;0.01;-117.60;15.07;0.00;78.04
8.30;77.60;p;6.28;0.50;-102.53;0.00;5.99;78.04
7.00;83.45;p;6.28;0.07;-102.53;0.00;5.99;83.74
5.70;89.30;y;0.11;0.01;-102.53;-30.35;0.00;89.48
5.70;89.30;p;8.24;0.22;-132.88;0.00;7.64;89.48
0.50;94.90;y;0.35;0.11;-132.88;134.47;0.00;94.90
0.50;94.90;p;7.32;0.16;1.59;0.00;7.20;94.90
